,Opening,Opening.1,Title,Director,Cast,Genre
12,FEB,17,Married 2 America,Dilip Shankar,"Jackie Shroff, Archana Joglekar, Anjali Malhotra, Shweta Tiwari, Raghuveer Yadav, Chetan Pandit, Ashok Samarth, Akhilendra Mishra",Drama
13,FEB,24,Jodi Breakers,Ashwini Chaudhary,"R. Madhavan, Bipasha Basu, Omi Vaidya, Dipannita Sharma[15]",Romance
14,FEB,24,Tere Naal Love Ho Gaya,Mandeep Kumar,"Riteish Deshmukh, Genelia D'Souza, Om Puri[16]",Romance/Comedy
15,MAR,2,"London, Paris, New York",Anu Menon,"Ali Zafar, Aditi Rao Hydari[17]",Romance
16,MAR,2,Paan Singh Tomar,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill[18]",Crime
17,MAR,2,Will You Marry Me?,Aditya Dutt,"Shreyas Talpade, Mugdha Godse, Rajeev Khandelwal, Muzamil Ibrahim[19]",Romance
18,MAR,9,Kahaani,Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee[20]",Drama/Thriller
19,MAR,9,Chaar Din Ki Chandni,Samir Karnik,"Tusshar Kapoor, Kulraj Randhawa, Anupam Kher[20]",Comedy
20,MAR,16,Say Yes to Love,Mahrukh Mirza Beg,"Asad Mirza, Nazia Hussain, Aditya Raj Kapoor[21]",Romance
21,MAR,16,Akkad Bakkkad Bam Be Bo,Dweep Raj Kochhar,Dweep Raj Kochhar[22],Romance
22,MAR,16,Zindagi Tere Naam,Ashu Trikha,"Mithun Chakraborthy, Ranjeeta Kaur, Ashish Sharma[22]",Romance
23,MAR,23,Agent Vinod,Sriram Raghavan,"Saif Ali Khan, Kareena Kapoor[21]",Suspense/Thriller
24,MAR,30,Blood Money,Vishal Mahadkar,"Kunal Khemu, Amrita Puri[23]",Thriller
25,MAR,30,Bumboo,Jagdish Rajpurohit,"Sharat Saxena, Sanjay Mishra[21]",Comedy
26,APR,5,Housefull 2,Sajid Khan,"Akshay Kumar,Asin,Riteish Deshmukh,Boman Irani[24]",Action Comedy
27,APR,13,Bittoo Boss,Supavitra Babul,"Pulkit Samrat, Amita Pathak[25]",Comedy
28,APR,13,Vicky Donor,Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor[26]",Comedy
29,APR,13,Ab Hoga Dharna Unlimited,Deepak Tanwar,"Sourabh Malik, Rekha Rana, Omkar Das Manikpuri[27]",Drama
30,APR,20,Hate Story,Vivek Agnihotri,"Paoli Dam, Gulshan Devaiya, Nikhil Dwivedi[26]",Adult/Thriller
31,APR,20,Chhodo Kal Ki Baatein,Pramod Joshi,"Sachin Khedekar, Anjan Srivastav, Atul Parchure, Anupam Kher[27]",Comedy
32,APR,27,Tezz,Priyadarshan,"Ajay Devgn, Anil Kapoor, Kangana Ranaut, Zayed Khan, Sameera Reddy, Boman Irani, Mohanlal[28]",Action
33,APR,27,Life Ki Toh Lag Gayi,Rakesh Mehta,"Ranvir Shorey, Kay Kay Menon, Manu Rishi, Rukhsar Rehman, Neha Bhasin[28]",Comedy
34,MAY,4,Jannat 2,Kunal Deshmukh,"Emraan Hashmi, Randeep Hooda, Esha Gupta[29]",Crime/Thriller
35,MAY,4,Fatso!,Rajat Kapoor,"Ranvir Shorey, Gul Panag, Purab Kohli[29]",Comedy
36,MAY,4,The Forest,Ashvin Kumar,"Ankur Vikal, Nandana Sen, Jaaved Jaaferi[29]",Horror
37,MAY,4,"Love, Lies & Seeta",Chandra Pemmaraju,"Melanie Kannokada, Arjun Gupta, Lavrenti Lopes[29]",Comedy
38,MAY,11,Dangerous Ishq,Vikram Bhatt,"Karisma Kapoor, Rajneesh Duggal, Jimmy Sheirgill, Divya Dutta[30]",Romance/Thriller
39,MAY,11,Chhota Bheem and the Curse of Damyaan,Rajiv Chilaka,"Voice-over by Kaustav Ghosh, Rupa Bhimani[31]",Animation
40,MAY,11,Ishaqzaade,Habib Faisal,"Arjun Kapoor, Parineeti Chopra[32]",Romance
41,MAY,18,Department,Ram Gopal Varma,"Amitabh Bachchan, Sanjay Dutt, Rana Daggubati, Anjana Sukhani, Lakshmi Manchu, Naseeruddin Shah[33]",Adult/Action/Crime
42,MAY,18,Mr. Bhatti on Chutti,Karan Razdan,"Anupam Kher, Abid Ali[34]",Comedy Film
43,MAY,25,Arjun: The Warrior Prince,Arnab Chaudhuri,"Voice-over by Yuddvir Bakolia, Anjan Srivastav, Sachin Khedekar, Ila Arun, Vishnu Sharma[35]",Computer-Animated
44,MAY,25,MLA,Shiv Dube,"Mukesh Tiwari, Omkar Das Manikpuri[36]",Crime
45,MAY,25,Rakhtbeej,Anil Balani,"Maanas Srivastavam, Sayantani Nandi[37]",romantic comedy
46,MAY,25,Yeh Khula Aasmaan,Gitanjali Sinha,"Raghuveer Yadav, Yashpal Sharma[37]",Romantic
47,MAY,25,"Love, Wrinkle-free",Sandeep Mohan,"Ash Chandler, Shernaz Patel[37]",Adult/Romantic
48,JUN,1,Rowdy Rathore,Prabhu Deva,"Akshay Kumar, Sonakshi Sinha, Paresh Ganatra, Nassar[38]",Action/comedy
49,JUN,8,Shanghai,Dibakar Banerjee,"Emraan Hashmi, Abhay Deol, Kalki Koechlin, Prasenjit Chatterjee[39]",Political/Thriller
50,JUN,15,Qasam Se Qasam Se,Azim Rizvi,"Faith, Rakhi Sawant, Satish Kaushik, Mukesh Tiwari, Omkar Das Manikpuri[40]",Romance
51,JUN,22,Ferrari Ki Sawaari,Rajesh Mapuskar,"Sharman Joshi, Boman Irani[41]",Drama/Comedy
52,JUN,22,Teri Meri Kahaani,Kunal Kohli,"Shahid Kapoor, Priyanka Chopra, Prachi Desai, Neha Sharma[42]",Romance/Comedy
53,JUN,22,Gangs of Wasseypur,Anurag Kashyap,"Manoj Bajpai, Nawazuddin Siddiqui, Piyush Mishra, Richa Chadda, Huma Qureshi, Reema Sen[43]",Adult/Crime/Thriller
54,JUN,29,Maximum,Kabeer Kaushik,"Sonu Sood, Naseeruddin Shah, Neha Dhupia, Vinay Pathak[44]",Thriller
55,JUL,6,Bol Bachchan,Rohit Shetty,"Ajay Devgn, Abhishek Bachchan, Asin Thottumkal, Prachi Desai[45]",Comedy/Action
56,JUL,6,3 Bachelors,Ajay Sinha,"Sharman Joshi, Riya Sen, Raima Sen[46]",Comedy
57,JUL,13,Cocktail,Homi Adajania,"Saif Ali Khan, Deepika Padukone, Diana Penty, Boman Irani, Dimple Kapadia[47]",Romance
58,JUL,20,Gattu,Rajan Khosa,"Sarvasva, Mohammad Samad, Naresh Kumar[48]",Children
59,JUL,20,Challo Driver,Vickrant Mahajan,"Kainaz Motivala, Vickrant Mahajan, Prem Chopra, Manoj Pahwa[49]",Comedy
60,JUL,20,Mere Dost Picture Abhi Baki Hai,Rajnish Raj Thakur,"Suniel Shetty, Rajpal Yadav[50]",Comedy
61,JUL,27,Kyaa Super Kool Hain Hum,Sachin Yardi,"Tusshar Kapoor, Riteish Deshmukh, Neha Sharma, Sarah-Jane Dias[51]",Adult/Comedy
62,JUL,27,Aalaap,Manish Manikpuri,"Amit Purohit, Pitobash Tripathy, Gamya Wijayadasa, Rituparna Sengupta",Social
63,JUL,27,Overtime,Ajay Yadav,"Swati Sharma, Yashpal Sharma, Satish Kaushik[52]",Drama
64,AUG,3,Jism 2,Pooja Bhatt,"Sunny Leone, Arunoday Singh, Randeep Hooda[53]",Adult/Thriller
65,AUG,3,Krishna Aur Kans,Vikram Veturi,"Voice-over by Om Puri, Juhi Chawla, Manoj Bajpai, Anupam Kher, A. K. Hangal, Sachin Pilgaonkar, Supriya Pilgaonkar, Prachi Save[54][55]",Computer-Animated
66,AUG,8,Gangs of Wasseypur – Part 2,Anurag Kashyap,"Nawazuddin Siddiqui, Tigmanshu Dhulia, Piyush Mishra, Richa Chadda, Huma Qureshi, Reema Sen[56]",Adult/Crime/Thriller
67,AUG,10,Paanch Ghantey Mien Paanch Crore,Faisal Saif,"Meera, Abhishek Kumar, Kavita Radheshyam",Thriller
68,AUG,15,Ek Tha Tiger,Kabir Khan,"Salman Khan, Katrina Kaif, Ranvir Shorey, Girish Karnad[57]",Romance/Action
69,AUG,24,Shirin Farhad Ki Toh Nikal Padi,Bela Sehgal,"Boman Irani, Farah Khan[58]",Romance/Comedy
70,AUG,31,Joker,Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minnisha Lamba[59]",Drama
71,AUG,31,Jalpari: The Desert Mermaid,Nila Madhab Panda,"Rahul Singh, Suhasini Mulay, Lehar Khan, Harsh Mayar, Tannishtha Chatterjee, Parvin Dabas",Thriller/Social
72,AUG,31,From Sydney with Love,Prateek Chakraborty,"Sharad Malhotra, Prateek Chakraborty, Evelyn Sharma, Bidita Bag[60]",Romantic
73,AUG,31,I M 24,Saurabh Shukla,"Ranvir Shorey, Neha Dhupia, Saurabh Shukla, Rajat Kapoor, Karan Singh Grover, Manjari Fadnis",Comedy
74,SEP,7,Raaz 3: The Third Dimension,Vikram Bhatt,"Emraan Hashmi, Bipasha Basu, Esha Gupta[61]",Adult/Suspense/Thriller
75,SEP,7,Chal Pichchur Banate Hain,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel[62]",Comedy
76,SEP,14,Barfi!,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz[63]",Romance/Comedy
77,SEP,14,Jeena Hai Toh Thok Daal,Manish Vatsalya,"Ravi Kishan, Yashpal Sharma, Govind Namdev, Hazel Crowney, Sharat Saxena[64]",Drama
78,SEP,21,Heroine,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Mugdha Godse, Rakesh Bapat, Divya Dutta[65]",Adult/Drama
79,SEP,28,Kamaal Dhamaal Malamaal,Priyadarshan,"Paresh Rawal, Om Puri, Nana Patekar, Shreyas Talpade, Rajpal Yadav, Madhurima[66]",Comedy
80,SEP,28,OMG – Oh My God!,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Lubna Salim[67]",Comedy/Fantasy
81,OCT,5,English Vinglish,Gauri Shinde,"Sridevi, Priya Anand, Mehdi Nebbou, Amitabh Bachchan[68]",Drama
82,OCT,5,Kismet Love Paisa Dilli,Sanjay Khanduri,"Vivek Oberoi, Mallika Sherawat[69]",Comedy
83,OCT,12,Aiyyaa,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran[70]",Rom-Com
84,OCT,12,Login,Sanjeev Reddy,"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai[71]",Drama/Thriller
85,OCT,12,Chittagong,Bedabrata Pain,"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[72]",Drama
86,OCT,12,Delhi Safari,Nikhil Advani,"Voice-over by Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, Govinda, Swini Khara[73]",Computer Animated
87,OCT,12,Bhoot Returns,Ram Gopal Verma,"Manisha Koirala, J. D. Chakravarthy[74]",Horror
88,OCT,19,Student of the Year,Karan Johar,"Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[75]",Romance/Comedy
89,OCT,24,Chakravyuh,Prakash Jha,"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[76]",Political Thriller
90,OCT,26,Ajab Gazabb Love,Sanjay Gadhvi,"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher[77]",Comedy
91,OCT,26,Rush,"Shamin Desai, Priyanka Desai","Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[78]",Thriller/Crime
92,NOV,2,Luv Shuv Tey Chicken Khurana,Sameer Sharma,"Kunal Kapoor, Huma Qureshi[79]",Comedy
93,NOV,2,1920: The Evil Returns,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[80]",Horror
94,NOV,2,Ata Pata Laapata,Rajpal Yadav,"Rajpal Yadav, Ashutosh Rana, Asrani[81]",Musical Comedy
95,NOV,2,Sons of Ram,Kushal Ruia,"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi Ghosh[82]",Animation/Drama/Children
96,NOV,2,Future To Bright Hai Ji,Sanjay Amar,"Aamir Bashir, Sonal Sehgal, Satish Kaushik[83]",Drama
97,NOV,13,Jab Tak Hai Jaan,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma[84]",Romance/Drama
98,NOV,13,Son Of Sardaar,Ashwni Dhir,"Ajay Devgn, Sanjay Dutt, Juhi Chawla, Sonakshi Sinha[85]",Comedy
99,NOV,30,Talaash: The Answer Lies Within,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Rajkumar Rao[86]",Drama/Suspense
100,DEC,7,Khiladi 786,Ashish R Mohan,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar, Himesh Reshammiya, Paresh Rawal[87]",Action/Comedy
101,DEC,12,The Last Act,12 directors,Saurabh Shukla[88],Anthology
102,DEC,14,Cigarette Ki Tarah,Akashaditya Lama,"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry[89]",Drama/Thriller
103,DEC,21,Dabangg 2,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Prakash Raj, Vinod Khanna[90]",Action/Comedy
