,Title,Production company,Cast and crew,genres
10,The Final Wish,BondIt Media Capital / Global Renaissance Entertainment Group,"Timothy Woodward Jr. (director); Jeffrey Reddick, William Halfon, Jonathan Doyle (screenplay); Lin Shaye, Michael Welch, Melissa Bolona, Spencer Locke, Tony Todd",Horror
11,The Kid Who Would Be King,20th Century Fox / TSG Entertainment / Working Title Films,"Joe Cornish (director/screenplay); Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor, Rhianna Doris, Angus Imrie, Rebecca Ferguson, Patrick Stewart",Action Adventure Fantasy Family
12,Serenity,Aviron Pictures / Global Road Entertainment,"Steven Knight (director/screenplay); Matthew McConaughey, Anne Hathaway, Jason Clarke, Diane Lane, Djimon Hounsou",Thriller Mystery Drama
13,I Am Mother,Netflix,"Grant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard, Rose Byrne, Hilary Swank",Science Fiction Thriller
14,The Vast of Night,GED Cinema,"Andrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick, Jake Horowitz",Mystery Science Fiction Thriller
15,Miss Bala,Columbia Pictures,"Catherine Hardwicke (director); Gareth Dunnet-Alcocer (screenplay); Gina Rodriguez, Ismael Cruz Córdova, Anthony Mackie",Action
16,Velvet Buzzsaw,Netflix,"Dan Gilroy (director/screenplay); Jake Gyllenhaal, Rene Russo, Toni Collette, Zawe Ashton, Tom Sturridge, Natalia Dyer, Daveed Diggs, Billy Magnussen, John Malkovich",Thriller Mystery Horror
17,Piercing,Universal Pictures,"Nicolas Pesce (director/screenplay); Christopher Abbott, Mia Wasikowska, Laia Costa, Maria Dizzia, Marin Ireland, Wendell Pierce",Thriller Horror Mystery
18,The Lego Movie 2: The Second Part,Warner Bros. Pictures / Warner Animation Group,"Mike Mitchell (director); Phil Lord, Christopher Miller (screenplay); Chris Pratt, Elizabeth Banks, Tiffany Haddish, Will Arnett, Stephanie Beatriz, Charlie Day, Alison Brie, Nick Offerman, Maya Rudolph",Action Adventure Animation Comedy Family
19,What Men Want,Paramount Players / Will Packer Productions,"Adam Shankman (director); Tina Gordon Chism (screenplay); Taraji P. Henson, Tracy Morgan, Max Greenfield, Aldis Hodge, Wendi McLendon-Covey",Comedy Romance
20,Cold Pursuit,Summit Entertainment / StudioCanal,"Hans Petter Moland (director); Frank Baldwin (screenplay); Liam Neeson, Tom Bateman, Tom Jackson, Emmy Rossum, Domenick Lombardozzi, Julia Jones, John Doman, Laura Dern",Action Crime Thriller
21,High Flying Bird,Netflix / Extension 765,"Steven Soderbergh (director); Tarell Alvin McCraney (screenplay); André Holland, Zazie Beetz, Melvin Gregg, Sonja Sohn, Zachary Quinto, Kyle MacLachlan, Bill Duke",Drama
22,The Prodigy,Orion Pictures / XYZ Films,"Nicholas McCarthy (director); Jeff Buhler (screenplay); Taylor Schilling, Peter Mooney, Colm Feore",Horror Thriller
23,Isn't It Romantic,Warner Bros. Pictures / New Line Cinema / Netflix / Bron Creative,"Todd Strauss-Schulson (director); Erin Cardillo, Dana Fox, Katie Silberman (screenplay); Rebel Wilson, Liam Hemsworth, Adam DeVine, Priyanka Chopra, Betty Gilpin, Brandon Scott Jones",Comedy Fantasy Romance
24,Happy Death Day 2U,Universal Pictures / Blumhouse Productions,"Christopher Landon (director/screenplay); Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma, Sarah Yarkin, Ruby Modine, Rachel Matthews, Charles Aitken, Steve Zissis",Comedy Horror Science Fiction
25,Alita: Battle Angel,20th Century Fox / Lightstorm Entertainment / TSG Entertainment,"Robert Rodriguez (director); James Cameron, Laeta Kalogridis (screenplay); Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Leonard Wu",Action Science Fiction Adventure
26,How to Train Your Dragon: The Hidden World,Universal Pictures / DreamWorks Animation,"Dean DeBlois (director/screenplay); Jay Baruchel, America Ferrera, Cate Blanchett, Craig Ferguson, F. Murray Abraham",Animation Family Adventure
27,Fighting with My Family,Metro-Goldwyn-Mayer,"Stephen Merchant (director/screenplay); Florence Pugh, Lena Headey, Nick Frost, Jack Lowden, Vince Vaughn, Dwayne Johnson",Comedy
28,Tyler Perry's A Madea Family Funeral,Lionsgate,"Tyler Perry (director); Jason Rogers (screenplay); Tyler Perry, Courtney Burrell, Patrice Lovely",Comedy
29,Greta,Focus Features,"Neil Jordan (director/screenplay); Ray Wright (screenplay); Isabelle Huppert, Chloë Grace Moretz, Maika Monroe, Colm Feore, Stephen Rea",Drama Mystery Thriller Horror
30,Triple Frontier,Netflix,"J. C. Chandor (director/screenplay); Mark Boal (screenplay); Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund, Pedro Pascal",Action Thriller Crime Adventure
31,Captain Marvel,Marvel Studios,"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law",Action Adventure Science Fiction
32,The Kid,Lionsgate Films,"Vincent D'Onofrio (director); Andrew Lanham (screenplay); Ethan Hawke, Dane DeHaan, Jake Schur, Leila George, Adam Baldwin, Chris Pratt",Fantasy Comedy Family
33,Wonder Park,Paramount Pictures / Paramount Animation / Nickelodeon Movies,"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver",Comedy Animation Adventure Family Fantasy
34,Captive State,Focus Features / Participant Media,"Rupert Wyatt (director/screenplay); Erica Beeney (screenplay); John Goodman, Ashton Sanders, Jonathan Majors, Machine Gun Kelly, Vera Farmiga",Science Fiction
35,Nancy Drew and the Hidden Staircase,Warner Bros. Pictures / A Very Good Production,"Katt Shea (director); Nina Fiore, John Herrera (screenplay); Sophia Lillis, Zoe Renee, Mackenzie Graham, Laura Slade Wiggins, Sam Trammell, Linda Lavin",Crime Family Comedy Mystery
36,The Aftermath,Fox Searchlight Pictures,"James Kent (director); Joe Shrapnel, Anna Waterhouse (screenplay); Alexander Skarsgård, Keira Knightley, Jason Clarke",War Drama Romance
37,Five Feet Apart,Lionsgate / CBS Films,"Justin Baldoni (director); Mikki Daughtry, Tobias Iaconis (screenplay); Cole Sprouse, Haley Lu Richardson",Romance Drama
38,The Highwaymen,Netflix,"John Lee Hancock (director); John Fusco (screenplay); Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch, Kim Dickens, Thomas Mann, William Sadler",Crime Drama Thriller
39,Red 11,Double R,"Robert Rodriguez (director/screenplay); Racer Rodriguez (screenplay); Roby Attal, Lauren Hatfield, Alejandro Rose Garcia, Brently Heilbron, Katherine Willis, Carlos Gallardo",Thriller Science Fiction
40,Never Grow Old,Saban Films / Canal+ / Ciné+,"Ivan Kavanagh (director/screenplay); Emile Hirsch, Tim Ahern, Déborah François, John Cusack, Danny Webb, Sam Louwyck",Western
41,Triple Threat,WWE Studios / TF1 Séries Films / Ingenious Media,"Jesse V. Johnson (director); Dwayne Smith (screenplay); Tony Jaa, Iko Uwais, Tiger Chen, Scott Adkins, Yanin Vismitananda, Celina Jade, Michael Bisping, Michael Jai White",Thriller Action
42,Us,Universal Pictures / Monkeypaw Productions / Perfect World Pictures,"Jordan Peele (director/screenplay); Lupita Nyong'o, Winston Duke, Shahadi Wright Joseph, Evan Alex, Elisabeth Moss, Tim Heidecker",Thriller Horror Mystery
43,Hotel Mumbai,Thunder Road Pictures / Arclight Films,"Anthony Maras (director/screenplay); John Collee (screenplay); Dev Patel, Armie Hammer, Nazanin Boniadi, Tilda Cobham-Hervey, Anupam Kher, Jason Isaacs",Thriller History Drama Action
44,The Dirt,Netflix,"Jeff Tremaine (director): Tom Kapinos, Amanda Adelson, Rich Wilkes (screenplay); Douglas Booth, Iwan Rheon, Machine Gun Kelly, Daniel Webber",Drama Music History
45,Dragged Across Concrete,Cinestate,"S. Craig Zahler (director/screenplay); Mel Gibson, Vince Vaughn, Michael Jai White",Crime Action Thriller
46,Dumbo,Walt Disney Pictures,"Tim Burton (director); Ehren Kruger (screenplay); Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Nico Parker, Finley Hobbins, Alan Arkin, Roshan Seth, Lars Eidinger, DeObia Oparei",Animation Family
47,The Beach Bum,Neon,"Harmony Korine (director/screenplay); Matthew McConaughey, Zac Efron, Jonah Hill, Isla Fisher, Jimmy Buffett, Snoop Dogg, Martin Lawrence",Comedy
48,Unplanned,Pure Flix,"Chuck Konzelman, Cary Soloman (director/screenplay); Ashley Bratcher, Brooks Ryan, Robia Scott",Drama
49,Shazam!,Warner Bros. Pictures / New Line Cinema / DC Films,"David F. Sandberg (director); Henry Gayden (screenplay); Zachary Levi, Asher Angel, Mark Strong, Jack Dylan Grazer, Djimon Hounsou",Action Comedy Fantasy
50,Pet Sematary,Paramount Pictures,"Kevin Kolsch, Dennis Widmyer (directors); Jeff Buhler (screenplay); Jason Clarke, Amy Seimetz, John Lithgow",Horror
51,The Best of Enemies,STX Entertainment,"Robin Bissell (director/screenplay); Taraji P. Henson, Sam Rockwell",Drama History
52,High Life,A24 / Arte / ZDF / Canal+ / Ciné+,"Claire Denis (director/screenplay); Jean-Pol Fargeau (screenplay); Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth",Science Fiction Drama Mystery Thriller
53,Unicorn Store,Netflix,"Brie Larson (director); Samantha McIntyre (screenplay); Brie Larson, Samuel L. Jackson, Joan Cusack, Bradley Whitford, Mamoudou Athie, Mary Holland, Hamish Linklater",Fantasy Drama Comedy
54,The Haunting of Sharon Tate,Saban Films / Voltage Pictures,"Daniel Farrands (director/screenplay); Hilary Duff, Jonathan Bennett, Lydia Hearst, Pawel Szajda",Horror Thriller
55,The Wind,IFC Midnight,"Emma Tammi (director); Teresa Sutherland (screenplay); Caitlin Gerard, Ashley Zukerman, Julia Goldani Telles, Miles Anderson",Western Horror Thriller
56,The Silence,Netflix,"John R. Leonetti (director); Carey Van Dyke, Shane Van Dyke (screenplay); Kiernan Shipka, Stanley Tucci, Miranda Otto, John Corbett",Horror Drama Thriller Fantasy
57,Hellboy,Summit Entertainment / Millennium Films,"Neil Marshall (director); Andrew Cosby (screenplay); David Harbour, Milla Jovovich, Ian McShane, Sasha Lane, Daniel Dae Kim, Sophie Okonedo, Penelope Mitchell, Thomas Haden Church",Fantasy Action Adventure Science Fiction
58,Little,Universal Pictures / Legendary Pictures / Will Packer Productions,"Tina Gordon (director); Camilla Blackett (screenplay); Issa Rae, Regina Hall, Marsai Martin",Animation Family Fantasy Comedy Music Adventure
59,Missing Link,Annapurna Pictures / Laika,"Chris Butler (director/screenplay); Hugh Jackman, Zach Galifianakis, Zoe Saldana, Emma Thompson, Stephen Fry, David Walliams, Timothy Olyphant, Matt Lucas, Amrita Acharia",Family Animation Comedy Adventure Fantasy
60,After,Aviron Pictures / Voltage Pictures,"Jenny Gage (director/screenplay); Susan McMartin, Tamara Chestna (screenplay); Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",Romance Drama
61,Her Smell,Bow and Arrow Entertainment / Faliro House Productions,"Alex Ross Perry (director/screenplay); Elisabeth Moss, Cara Delevingne, Dan Stevens, Agyness Deyn, Gayle Rankin, Ashley Benson, Dylan Gelula, Virginia Madsen, Amber Heard",Drama Music
62,Breakthrough,20th Century Fox,"Roxann Dawson (director); Grant Nieporte (screenplay); Chrissy Metz, Josh Lucas, Topher Grace, Mike Colter, Marcel Ruiz, Sam Trammell, Dennis Haysbert",Drama
63,Penguins,Disneynature,"Alastair Fothergill (director), Jeff Wilson (co-director); Ed Helms",Family Animation Adventure Comedy
64,The Curse of La Llorona,Warner Bros. Pictures / New Line Cinema,"Michael Chaves (director); Mikki Daughtry, Tobias Iaconis (screenplay); Linda Cardellini, Raymond Cruz, Patricia Velasquez",Horror Thriller
65,Under the Silver Lake,A24,"David Robert Mitchell (director/screenplay); Andrew Garfield, Riley Keough, Topher Grace",Crime Drama Mystery
66,Family,Stage 6 Films / Naegle Ink,"Laura Steinel (director/screenplay); Taylor Schilling, Brian Tyree Henry, Bryn Vale, Allison Tolman, Kate McKinnon",Animation Comedy Family
67,Fast Color,Codeblack Films,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Gugu Mbatha-Raw, Lorraine Toussaint, Saniyya Sidney, Christopher Denham, David Strathairn",Thriller Drama Science Fiction
68,Someone Great,Netflix,"Jennifer Kaytin Robinson (director/screenplay); Gina Rodriguez, Brittany Snow, DeWanda Wise",Comedy Romance
69,I Spit on Your Grave: Deja Vu,Deja Vu LLC,"Meir Zarchi (director/screenplay); Camille Keaton, Maria Olsen, Meir Zarchi",Horror Thriller
70,Avengers: Endgame,Marvel Studios,"Anthony and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Benedict Wong, Jon Favreau, Bradley Cooper, Gwyneth Paltrow, Josh Brolin",Adventure Science Fiction Action
71,I Trapped the Devil,IFC Midnight,"Josh Lobo (director/screenplay); A. J. Bowen, Scott Poythress, Susan Burke, Jocelin Donahue, Chris Sullivan",Horror
72,Body at Brighton Rock,SoapBox Films / ProtoStar Pictures,"Roxanne Benjamin (director/screenplay); Karina Fontes, Casey Adams, Emily Althaus, Martin Spanjers, Susan Burke, John Getz",Thriller
73,Buffaloed,Lost City / Blue Ice Pictures,"Tanya Wexler (director); Brian Sacca (screenplay); Zoey Deutch, Jermaine Fowler, Judy Greer, Jai Courtney",Comedy Drama Romance
74,Long Shot,Summit Entertainment / Good Universe / Point Grey Pictures,"Jonathan Levine (director); Dan Sterling (screenplay); Seth Rogen, Charlize Theron, O'Shea Jackson Jr., Andy Serkis, June Diane Raphael, Bob Odenkirk, Alexander Skarsgård",Comedy Romance
75,The Intruder,Screen Gems,"Deon Taylor (director); David Loughery (screenplay); Dennis Quaid, Michael Ealy, Meagan Good, Joseph Sikora",Thriller
76,UglyDolls,STX Entertainment / Reel FX Animation Studios,"Kelly Asbury (director); Alison Peck (screenplay); Kelly Clarkson, Pitbull, Nick Jonas, Wanda Sykes, Gabriel Iglesias, Blake Shelton, Janelle Monáe, Emma Roberts, Wang Leehom, Bebe Rexha, Charli XCX, Lizzo",Family Animation Comedy Adventure Fantasy Music
77,"Extremely Wicked, Shockingly Evil and Vile",Netflix / Sky Cinema,"Joe Berlinger (director); Michael Werwie (screenplay); Zac Efron, Lily Collins, Kaya Scodelario, John Malkovich, Jeffrey Donovan, Angela Sarafyan, Dylan Baker, Brian Geraghty, Jim Parsons, Haley Joel Osment",Thriller Crime Drama
78,The Last Summer,Netflix,"William Bindley (director); Scott Bindley; William Bindley (screenplay); KJ Apa, Maia Mitchell, Jacob Latimore, Halston Sage and Tyler Posey",Romance Comedy
79,Pokémon Detective Pikachu,Warner Bros. Pictures / Legendary Pictures / The Pokémon Company,"Rob Letterman (director/screenplay); Dan Hernandez, Benji Samit, Derek Connolly (screenplay); Ryan Reynolds, Justice Smith, Kathryn Newton, Suki Waterhouse, Omar Chaparro, Chris Geere, Ken Watanabe, Bill Nighy",Action Adventure Fantasy
80,The Hustle,Metro-Goldwyn-Mayer,"Chris Addison (director); Jac Schaeffer (screenplay); Anne Hathaway, Rebel Wilson, Alex Sharp, Dean Norris",Comedy
81,Tolkien,Fox Searchlight Pictures,"Dome Karukoski (director); David Gleeson, Stephen Beresford (screenplay); Nicholas Hoult, Lily Collins, Colm Meaney, Derek Jacobi",War Drama History Romance
82,Poms,STX Entertainment / Sierra/Affinity,"Zara Hayes (director/screenplay); Shane Atkinson (screenplay); Diane Keaton, Jacki Weaver, Pam Grier, Rhea Perlman, Celia Weston, Phyllis Somerville",Comedy Drama
83,The Professor and the Madman,Vertical Entertainment,"P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan",Drama History Mystery Thriller
84,John Wick: Chapter 3 – Parabellum,Summit Entertainment,"Chad Stahelski (director); Derek Kolstad (screenplay); Keanu Reeves, Halle Berry, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Anjelica Huston, Ian McShane",Action Thriller Crime
85,A Dog's Journey,Universal Pictures / Amblin Entertainment / Walden Media,"Gail Mancuso (director); W. Bruce Cameron, Cathryn Michon, Wally Wolodarsky, Maya Forbes (screenplay); Dennis Quaid, Josh Gad, Marg Helgenberger, Betty Gilpin, Kathryn Prescott, Henry Lau",Family Adventure Drama
86,The Sun Is Also a Star,Warner Bros. Pictures / Metro-Goldwyn-Mayer,"Ry Russo-Young (director); Tracy Oliver (screenplay); Yara Shahidi, Charles Melton, John Leguizamo",Romance Drama
87,The Professor,Open Road Films / Saban Films,"Wayne Roberts (director/screenplay); Johnny Depp, Rosemarie DeWitt, Danny Huston, Zoey Deutch, Ron Livingston, Odessa Young",Drama History Mystery Thriller
88,The Souvenir,A24,"Joanna Hogg (director/screenplay); Honor Swinton Byrne, Tom Burke, Tilda Swinton, Richard Ayoade",Drama
89,The Tomorrow Man,Bleecker Street,"Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow",Drama Romance
90,Aladdin,Walt Disney Pictures,"Guy Ritchie (director/screenplay); John August (screenplay); Mena Massoud, Will Smith, Naomi Scott, Marwan Kenzari, Navid Negahban, Nasim Pedrad, Billy Magnussen, Numan Acar, Alan Tudyk, Frank Welker",Adventure Fantasy Romance Family
91,Brightburn,Screen Gems / Stage 6 Films,"David Yarovesky (director); Brian Gunn, Mark Gunn (screenplay); Elizabeth Banks, David Denman, Jackson A. Dunn, Matt Jones, Meredith Hagner",Horror Thriller Science Fiction
92,Booksmart,Annapurna Pictures / Gloria Sanchez Productions,"Olivia Wilde (director); Emily Halpern, Sarah Haskins, Katie Silberman, Susanna Fogel (screenplay); Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Noah Galvin, Billie Lourd, Lisa Kudrow, Will Forte, Jason Sudeikis",Comedy
93,The Perfection,Netflix / Miramax,"Richard Shepard (director/screenplay); Eric Charmelo, Nicole Snyder (screenplay); Allison Williams, Logan Browning, Steven Weber, Alaina Huffman",Horror Thriller Drama
94,Always Be My Maybe,Netflix,"Nahnatchka Khan (director); Ali Wong, Randall Park, Michael Golamco (screenplay); Ali Wong, Randall Park, Daniel Dae Kim, Keanu Reeves",Romance Comedy
95,Godzilla: King of the Monsters,Warner Bros. Pictures / Legendary Pictures,"Michael Dougherty (director/screenplay); Zach Shields, Max Borenstein (screenplay); Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Bradley Whitford, Sally Hawkins, Charles Dance, Thomas Middleditch, Aisha Hinds, O'Shea Jackson Jr., David Strathairn, Ken Watanabe, Zhang Ziyi",Science Fiction Action
96,Rocketman,Paramount Pictures / Marv Films,"Dexter Fletcher (director); Lee Hall (screenplay); Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard",Music Drama History
97,Ma,Universal Pictures / Blumhouse Productions,"Tate Taylor (director/screenplay); Scotty Landes (screenplay); Octavia Spencer, Juliette Lewis, Diana Silvers, McKaley Miller, Corey Fogelmanis, Luke Evans",Horror Thriller
98,Dark Phoenix,20th Century Fox / TSG Entertainment / Marvel Entertainment,"Simon Kinberg (director/screenplay); James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan, Alexandra Shipp, Kodi Smit-McPhee, Evan Peters, Jessica Chastain",Science Fiction Action Adventure
99,The Secret Life of Pets 2,Universal Pictures / Illumination,"Chris Renaud (director); Jonathan del Val (co-director); Brian Lynch (screenplay); Patton Oswalt, Eric Stonestreet, Kevin Hart, Jenny Slate, Tiffany Haddish, Lake Bell, Nick Kroll, Dana Carvey, Ellie Kemper, Chris Renaud, Hannibal Buress, Bobby Moynihan, Harrison Ford",Adventure Animation Comedy Family
100,Late Night,Amazon Studios,"Nisha Ganatra (director); Mindy Kaling (screenplay); Emma Thompson, Mindy Kaling, Max Casella, Hugh Dancy, John Lithgow, Denis O'Hare, Reid Scott, Amy Ryan",Comedy Drama
101,The Last Black Man in San Francisco,A24 / Plan B Entertainment,"Joe Talbot (director/screenplay); Rob Richert (screenplay); Jimmie Fails, Jonathan Majors, Danny Glover, Tichina Arnold, Rob Morgan, Mike Epps, Finn Wittrock, Thora Birch",Drama
102,Changeland,Gravitas Ventures,"Seth Green (director/screenplay); Breckin Meyer, Macaulay Culkin, Brenda Song, Clare Grant, Randy Orton",Comedy Drama
103,Men in Black: International,Columbia Pictures / Amblin Entertainment / Tencent Pictures,"F. Gary Gray (director); Art Marcum and Matt Holloway (screenplay); Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson, Rafe Spall, Les Twins, Emma Thompson, Liam Neeson",Comedy Science Fiction
104,Shaft,Warner Bros. Pictures / New Line Cinema / Davis Entertainment,"Tim Story (director); Kenya Barris, Alex Barnow (screenplay); Samuel L. Jackson, Jessie Usher, Richard Roundtree, Alexandra Shipp, Regina Hall, Matt Lauria, Titus Welliver, Method Man",Action Adventure Crime Thriller
105,The Dead Don't Die,Focus Features,"Jim Jarmusch (director/screenplay); Bill Murray, Adam Driver, Tilda Swinton, Chloë Sevigny, Steve Buscemi, Caleb Landry Jones, Rosie Perez, Iggy Pop, Sara Driver, RZA, Selena Gomez, Carol Kane, Tom Waits",Comedy Horror Fantasy
106,Murder Mystery,Netflix / Happy Madison Productions,"Kyle Newacheck (director); James Vanderbilt (screenplay); Adam Sandler, Jennifer Aniston, Luke Evans, Gemma Arterton, Adeel Akhtar, Terence Stamp",Comedy
107,Plus One,RLJE Films / Red Hour Productions / Studio71,"Jeff Chan, Andrew Rhymer (director/screenplay); Maya Erskine, Jack Quaid, Beck Bennett, Rosalind Chao, Perrey Reeves, Ed Begley Jr.",Romance Comedy Drama
108,Being Frank,The Film Arcade,"Miranda Bailey (director); Glen Lakin (screenplay); Jim Gaffigan, Logan Miller, Samantha Mathis, Alex Karpovsky, Anna Gunn",Comedy
109,Toy Story 4,Walt Disney Pictures / Pixar,"Josh Cooley (director); Stephany Folsom, Andrew Stanton (screenplay); Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Jordan Peele, Madeleine McGraw, Christina Hendricks, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack",Family Adventure Animation Comedy Fantasy Drama
110,Anna,Summit Entertainment / EuropaCorp,"Luc Besson (director); Luc Besson, Marc Shmuger (screenplay); Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Alexander Petrov",Thriller Action
111,Child's Play,Orion Pictures / Bron Creative,"Lars Klevberg (director); Tyler Burton Smith (screenplay); Aubrey Plaza, Gabriel Bateman, Brian Tyree Henry, Mark Hamill",Horror
112,Annabelle Comes Home,Warner Bros. Pictures / New Line Cinema,"Gary Dauberman (director/screenplay); Mckenna Grace, Madison Iseman, Katie Sarife, Patrick Wilson, Vera Farmiga",Horror Thriller Mystery
113,Yesterday,Universal Pictures / Perfect World Pictures / Working Title Films,"Danny Boyle (director); Richard Curtis (screenplay); Himesh Patel, Lily James, Ed Sheeran, Kate McKinnon",Music Comedy Romance Fantasy
114,Ophelia,IFC Films,"Claire McCarthy (director); Semi Chellas (screenplay); Daisy Ridley, Naomi Watts, Clive Owen, George MacKay, Tom Felton, Devon Terrell",Romance History
115,Killers Anonymous,Lionsgate,"Martin Owen (director/screenplay); Elizabeth Morris, Seth Johnson (screenplay); Tommy Flanagan, Rhyon Nicole Brown, Jessica Alba, Gary Oldman",Action Thriller Crime Mystery
116,Spider-Man: Far From Home,Columbia Pictures / Marvel Studios,"Jon Watts (director); Chris McKenna, Erik Sommers (screenplay); Tom Holland, Samuel L. Jackson, Zendaya, Cobie Smulders, Jon Favreau, J. B. Smoove, Jacob Batalon, Martin Starr, Marisa Tomei, Jake Gyllenhaal",Action Adventure Science Fiction
117,Escape Plan: The Extractors,Summit Entertainment,"John Herzfeld (director); John Herzfeld, Miles Chapman (screenplay); Sylvester Stallone, Curtis Jackson, Dave Bautista",Action Thriller Crime
118,Midsommar,A24,"Ari Aster (director/screenplay); Florence Pugh, Jack Reynor, William Jackson Harper, Vilhelm Blomgren, Will Poulter",Horror Drama Mystery
119,Stuber,20th Century Fox,"Michael Dowse (director); Tripper Clancy (screenplay); Kumail Nanjiani, Dave Bautista, Iko Uwais, Natalie Morales, Betty Gilpin, Jimmy Tatro, Mira Sorvino, Karen Gillan",Action Comedy
120,Crawl,Paramount Pictures / Ghost House Pictures,"Alexandre Aja (director); Shawn Rasmussen, Michael Rasmussen (screenplay); Kaya Scodelario, Barry Pepper",Thriller Horror
121,Point Blank,Netflix / War Party,"Joe Lynch (director); Adam G. Simon (screenplay); Frank Grillo, Anthony Mackie, Marcia Gay Harden, Teyonah Parris",Action Thriller
122,The Farewell,A24,"Lulu Wang (director/screenplay); Awkwafina, Tzi Ma, Diana Lin, Zhao Shuzhen",Comedy Drama
123,Darlin',Dark Sky Films,"Pollyanna Mcintosh (director/screenplay); Pollyanna McIntosh, Cooper Andrews, Nora-Jane Noone, Bryan Batt",Horror Mystery
124,The Lion King,Walt Disney Pictures,"Jon Favreau (director); Jeff Nathanson (screenplay); Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard, Billy Eichner, John Kani, John Oliver, Beyoncé Knowles-Carter, James Earl Jones",Family Animation Drama
